label,confidence,reasoning,explanation,idx,sentence,matched_markers,paper_title,reviewer,ground_truth,model,correct
objective,0.95,"The sentence describes specific factual issues in the paper's presentation (symbols used before definition, missing introductions). It contains no evaluative language, hedging, or personal opinions. The claims can be verified by checking the paper's content, making it an objective observation about the work's technical execution.",The statement presents verifiable factual claims about the paper's methodology and notation usage without expressing subjective evaluation or authorial stance.,1,"Some key symbols (e.g., $J^t$) are used before being defined, and sets $N$ and $M$ are not introduced at all.",,Reframing attention as a reinforcement learning problem for causal discovery,ICLR.cc/2026/Conference/Submission25201/Reviewer_c1aN,objective,qwen3:8b,True
objective,0.95,"The sentence contains verifiable factual claims about prior literature and a specific probability (1/64) that can be mathematically verified. While 'extensively documented' may carry some subjectivity, the core assertion about the probability of alignment is an objective technical claim. The phrase 'it's recognized that' reflects a factual statement about established knowledge rather than an opinion.","The sentence primarily presents verifiable technical facts about probability and prior research, making it objectively classified.",2,"Prior literature has extensively documented this phenomenon, and it's recognized that even random copy-move operations have a 1/64 chance of aligning with grid boundaries.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,objective,qwen3:8b,True
objective,0.95,"The sentence contains two parts. The first part ('Error feedback is typically useful...') may appear evaluative, but it is framed as a general observation about prior work rather than a personal opinion. The second part ('Theorems 2.5 and 2.8 do not clarify...') is a factual claim about the paper's content, stating what the theorems lack in terms of analysis. Since the core assertion is about verifiable gaps in the paper's methodology, the statement is objective.",The sentence objectively identifies a specific limitation in the paper's theorems regarding their analysis of error feedback's convergence properties.,3,"Error feedback is typically useful for biased but contractive compressors, but Theorems 2.5 and 2.8 do not clarify whether it improves convergence for extragradient DIANA.",,DIANA with Compression for Distributed Variational Inequalities: Eliminating the Need to Transmit Full Gradients,ICLR.cc/2026/Conference/Submission25336/Reviewer_DATd,objective,qwen3:8b,True
objective,0.95,"The sentence reports the absence of specific elements (implementation details, hyperparameters, reproducibility discussion) in the paper. These are verifiable factual claims about the paper's content rather than subjective evaluations. The phrasing 'Only high-level summaries are given' is a factual observation about the paper's scope, not an opinion or evaluation of its quality.",The statement describes the paper's content composition without expressing personal judgment or evaluative language.,4,"Only high-level summaries are given—no implementation details, hyperparameters, or reproducibility discussion.",,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,objective,qwen3:8b,True
objective,0.95,"The sentence states a factual observation about the paper's content (lack of description of dataset selection process) without expressing personal opinion, evaluation, or hedging. It is a verifiable claim about the paper's completeness rather than an evaluative judgment.","The statement is an objective factual claim about the paper's content, not an opinion or evaluation of its quality.",5,The dataset selection process is not described.,,On the (In)Significance of Feature Selection in High-Dimensional Datasets,ICLR.cc/2026/Conference/Submission25529/Reviewer_49XN,objective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('lacking a basis') that expresses the reviewer's judgment about the paper's methodology. While the first part ('No justification is provided') appears factual, the overall statement criticizes the paper's decision-making process, which is a subjective evaluation of its quality. The phrase 'specific number' implies a value judgment about the arbitrary choice of 42 dimensions.","The sentence combines factual observation with evaluative criticism, making it subjective.",6,"No justification is provided for defining exactly 42 evaluation dimensions in Section 3.2, lacking a basis for this specific number.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,False
objective,0.95,"The sentence states a factual claim about the absence of specific ablation studies in the paper's methodology. While the context is a 'weaknesses' section (which often contains subjective evaluations), the sentence itself does not include evaluative language, hedging, or personal judgments. It simply reports the lack of a particular methodological component, which can be verified by examining the paper's content.",The statement describes a verifiable factual omission in the paper's methodology rather than expressing the reviewer's subjective opinion.,7,"There's no ablation for particle‑per‑cell, interior/surface ratios, or grid resolution.",,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR.cc/2026/Conference/Submission25504/Reviewer_og4k,objective,qwen3:8b,True
objective,0.95,"The sentence describes the approach's assumptions and reports the paper's own findings about performance degradation under specific conditions. While 'reasonably accurate' contains a subjective modifier, it is used to describe technical requirements of the approach rather than express the reviewer's opinion. The second clause ('the paper notes...') is a factual report of the paper's claims, not an evaluative judgment by the reviewer.",The statement presents verifiable claims about the paper's methodology and results without expressing the reviewer's personal stance or evaluation.,8,"The approach assumes access to reasonably accurate PRMs, execution sandboxes, and consistency sampling; the paper notes performance can drop when PRM accuracy is low or process signals are unreliable.",,Listwise Generalized Preference Optimization with Process-aware Signals for LLM Reasoning,ICLR.cc/2026/Conference/Submission25060/Reviewer_ErQE,objective,qwen3:8b,True
subjective,0.95,"The sentence expresses a critique of the paper's clarity by questioning the definition of key terms. While phrased as a question, it reflects the reviewer's evaluation that the paper fails to adequately define 'corridor constant,' 'explicit,' and 'falsifiable'—all of which are subjective judgments about the paper's shortcomings. The context of a peer review's 'weaknesses' section further supports this as an evaluative statement.","The sentence criticizes the paper's lack of clarity on specific terms, which is a subjective assessment of its quality.",9,"What is a corridor constant, and what does it mean to be explicit and falsifiable?",,Not All Who Wander Are Lost: Hallucinations as Neutral Dynamics in Residual Transformers,ICLR.cc/2026/Conference/Submission25471/Reviewer_ZZth,objective,qwen3:8b,False
subjective,0.95,"The sentence contains evaluative language ('critical') which reflects the reviewer's judgment about the components' importance. While the second clause describes a factual omission in the paper, the overall statement frames this as a weakness, which is a subjective evaluation of the work's completeness. The use of 'critical' and the focus on 'weaknesses' section indicate the author's perspective rather than verifiable facts.","The sentence expresses a subjective evaluation of the paper's completeness and the importance of its components, making it a subjective statement.",10,"Core components like the Scenario Classifier and Expert Router are critical to the framework, but Section 3.3 provides no detailed information about their design (e.g., model architecture of the classifier, routing logic of the router).",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:8b,False
objective,0.95,"The sentence describes the current scope of the model's modelling approach without expressing personal judgment. It states a factual limitation of the model's granularity (brain regions vs. fine-grained structures) without evaluative language, hedging, or author-claim framing. The assertion can be verified by examining the model's implementation.",The statement objectively reports the model's technical limitations without incorporating the reviewer's personal opinions or evaluations.,11,"Additionally, the modelling is only done at the level of brain regions and more fine-grained structures (for instance, the layers of visual cortex) are not modelled.",,MouseDTB: A Mouse Digital Twin Brain at Single-neuron Resolution,ICLR.cc/2026/Conference/Submission25506/Reviewer_RNXD,objective,qwen3:8b,True
objective,0.95,"The sentence states a factual observation about the absence of specific statistical elements in the paper. It uses neutral language without evaluative terms, hedging, or personal opinions. The claim can be verified by checking the paper's methodology section.",This is an objective statement describing a verifiable factual omission in the paper's reporting.,12,No variance estimates or statistical significance tests are reported.,,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_p8bK,objective,qwen3:8b,True
objective,0.95,"The sentence describes a technical mechanism of the CABA method (malicious clients submitting updates simultaneously) without evaluative language, hedging, or author-claim framing. It states a verifiable fact about the method's design rather than expressing an opinion or emotional stance.","The statement is a factual description of the method's operational requirements, making it objectively verifiable.",13,CABA requires all malicious clients to submit their updates simultaneously each round to sustain the emergent backdoor.,,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_cswz,objective,qwen3:8b,True
objective,0.95,"The sentence reports a comparative claim about the method's performance relative to other approaches. While 'outperforms' is evaluative, it is used in an academic context to describe verifiable experimental results. The absence of personal pronouns, hedging language, or explicit subjective framing (e.g., 'I think', 'in my opinion') indicates it is reporting factual findings rather than expressing personal opinion. The reference to 'their evaluations' implies the comparison is based on measurable data from the paper's own experimental results.","The statement presents a factual comparison of method performance based on reported experimental results, making it objective.",14,This method also outperforms heuristic-based initialization methods in their evaluations.,,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_emKC,objective,qwen3:8b,True
objective,0.95,"The sentence identifies specific works (Expel[1], MSI-Agent[2], SelfGoal[3]) that the paper allegedly lacks. These are verifiable references. The phrasing 'Lack of introducing' is a factual claim about the paper's content rather than an evaluative judgment. While the context is a peer review, the statement itself does not include subjective language, hedging, or author-claim framing. It simply reports an absence of specific citations.",The sentence objectively reports the absence of specific cited works in the paper.,15,"Lack of introducing the insight-based memory work, like Expel[1], MSI-Agent[2] and SelfGoal[3].",,Improving Language Agents through BREW: Bootstrapping expeRientially-learned Environmental knoWledge,ICLR.cc/2026/Conference/Submission25161/Reviewer_Ffym,objective,qwen3:8b,True
subjective,0.95,The sentence expresses an evaluative judgment about the adequacy of description in the paper. The phrase 'not described in sufficient detail' reflects the reviewer's assessment rather than a verifiable fact. The use of 'sufficient' introduces subjectivity by implying a standard of completeness that is not objectively measurable. This aligns with hedging and evaluative language typical of subjective statements in peer reviews.,The statement represents the reviewer's opinion about the paper's completeness rather than stating an objective fact.,16,The fusion mechanism of the proposed metric between the aesthetic and artifact branches is not described in sufficient detail.,,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_TUpE,objective,qwen3:8b,False
objective,0.95,"The sentence describes technical requirements for GAN training (diverse samples) and potential risks (overfitting/mode collapse) as established facts in machine learning research. It uses neutral language without hedging, personal opinions, or evaluative claims. The statement aligns with verifiable technical knowledge about GAN training protocols.","The sentence presents factual technical information about GAN training requirements and risks, without expressing subjective opinions or evaluations.",17,"Training a GAN typically requires thousands of diverse samples; otherwise, the model risks overfitting or mode collapse.",,Warfare: Breaking the Watermark Protection of AI-Generated Content,ICLR.cc/2026/Conference/Submission25085/Reviewer_6gnC,objective,qwen3:8b,True
objective,0.95,"The sentence describes a factual observation about experimental results (Pass@1/Pass@32 metrics) without expressing personal judgment, evaluation, or hedging. The authors are reporting verifiable patterns in their data rather than stating opinions or beliefs. The use of 'observe' in an academic context typically refers to empirical findings rather than subjective claims.",This is an objective statement describing measurable trends in the authors' experimental results.,18,"The authors observe that Pass@1 diminishes with length increase, while Pass@32 generally increases.",,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,objective,qwen3:8b,True
subjective,0.85,"The sentence presents a general assertion about evaluation criteria without verifiable evidence or citations. While it appears factual, the phrasing 'require different evaluation criteria' reflects the author's evaluative judgment about what should be the case in creative writing tasks. The absence of hedging language does not negate the subjective nature of the claim, as it represents a normative statement about standards rather than a descriptive fact. The context of a peer review's 'weaknesses' section further suggests this is an evaluative critique rather than an objective observation.","The statement expresses the author's evaluative judgment about evaluation criteria in creative writing tasks, making it subjective.",19,"For example, in creative writing tasks, essay and script require different evaluation criteria.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,objective,qwen3:8b,False
objective,0.95,The sentence reports a factual observation about the absence of specific information in the paper. It uses neutral language ('are missing') to describe a verifiable gap in the manuscript's content rather than expressing personal judgment or evaluation. The statement could be confirmed by checking the paper's published content.,This is an objective statement describing a factual omission in the paper's documentation.,20,"However, the details about the training and evaluation datasets, training configuration, and the exact model type (e.g., the LLM backbones) are missing.",,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,objective,qwen3:8b,True
subjective,0.95,"The sentence contains evaluative language ('lacks the diversity of evaluation') which represents the reviewer's judgment about the paper's methodology. While the first clause ('considers only English-to-target') could be factual, the entire statement is framed as a criticism of the paper's approach, making it a subjective assessment of its limitations.","The statement expresses the reviewer's evaluation of the paper's methodology as insufficiently diverse, which is a subjective opinion rather than an objective fact.",21,"(iii) The paper considers only English-to-target machine translation as a generation task, which lacks the diversity of evaluation.",,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_GENk,objective,qwen3:8b,False
objective,0.95,"The sentence describes a methodological implementation (joint trigger tuning process) without evaluative language, hedging, or personal opinions. It states a verifiable fact about how the trigger is designed in the work. The author is reporting a technical process rather than expressing a subjective evaluation.",This is an objective statement describing a technical implementation detail.,22,The trigger in this work is designed within the joint trigger tuning process.,,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_P4Gf,objective,qwen3:8b,True
objective,0.95,"The sentence states a factual observation about the absence of specific content in the paper. It does not include evaluative language, hedging, or personal opinions. The claim is verifiable by checking the paper's content. While the context is a peer review weakness, the sentence itself reports an objective fact about the paper's coverage.",The statement describes a factual gap in the paper's content rather than expressing a subjective evaluation.,23,"There is no discussion or demonstration of its extensibility to other prevalent forgery methods, such as splicing or those involving AI-generated content.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,objective,qwen3:8b,True
objective,0.95,"The sentence describes a factual statement about the evaluation scope (methods excluded) without expressing opinion, evaluation, or hedging. It cites specific approaches and their features, which are verifiable facts about the research methods. The exclusion is presented as a factual observation rather than a subjective critique.",The sentence objectively reports what was excluded from the evaluation without incorporating the reviewer's personal judgment or emotional stance.,24,"Moreover, recent multi-branch approaches, such as Luo et al. [2], which integrate DCT, ELA, and noise features, are excluded from the evaluation.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,objective,qwen3:8b,True
