label,confidence,reasoning,explanation,idx,sentence,matched_markers,ground_truth,model,correct
objective,0.95,"The sentence describes specific factual issues in the paper (symbols used before definition, sets not introduced). It uses neutral language without evaluative terms, hedges, or emotional language. The claims can be verified by examining the paper's content.",The statement reports verifiable issues in the paper's notation without expressing personal opinions or evaluations.,1,"Some key symbols (e.g., $J^t$) are used before being defined, and sets $N$ and $M$ are not introduced at all.",,objective,qwen3:14b,True
objective,0.95,"The sentence references prior literature and presents a specific numerical probability (1/64) about a technical phenomenon. These elements are factual claims that can be verified through academic sources. The use of 'recognized' here indicates a consensus in the field rather than the author's personal opinion. There is no evaluative language, hedging, or emotional stance expressed.",The statement reports a verifiable statistical fact and references prior literature without expressing the author's subjective judgment.,2,"Prior literature has extensively documented this phenomenon, and it's recognized that even random copy-move operations have a 1/64 chance of aligning with grid boundaries.",,objective,qwen3:14b,True
objective,0.95,"The sentence discusses the content of specific theorems (2.5 and 2.8) and their failure to clarify a technical question about convergence. It uses neutral language ('do not clarify') and refers to verifiable aspects of the paper's theoretical analysis. While 'typically useful' is a generalization, it is framed as a factual observation about error feedback's role in a specific context, not an evaluative opinion.",The statement objectively describes a gap in the paper's theoretical analysis without expressing personal judgment or subjective evaluation.,3,"Error feedback is typically useful for biased but contractive compressors, but Theorems 2.5 and 2.8 do not clarify whether it improves convergence for extragradient DIANA.",,objective,qwen3:14b,True
objective,0.95,"The sentence states factual omissions in the paper's content (e.g., 'no implementation details', 'no reproducibility discussion') without using evaluative language, hedging, or personal opinion markers. It describes what is absent in the work, which is a common objective critique in academic reviews.",The statement focuses on verifiable missing elements in the paper's content rather than expressing the author's subjective judgment or emotional stance.,4,"Only high-level summaries are given—no implementation details, hyperparameters, or reproducibility discussion.",,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual omission ('not described') without evaluative language, hedging, or explicit opinion markers. It reports a verifiable absence of information in the paper's content, aligning with objective critique standards in academic reviews.",The statement objectively points out a missing methodological detail without expressing judgment or subjective evaluation.,5,The dataset selection process is not described.,,objective,qwen3:14b,True
subjective,0.95,"The sentence critiques the lack of justification for a specific methodological choice (42 evaluation dimensions) and evaluates it as a weakness. While it mentions an observable absence (no justification provided), the phrase 'lacking a basis for this specific number' reflects the reviewer's evaluative judgment about the choice being arbitrary or flawed. This is a subjective assessment of the paper's methodology rather than a neutral factual statement.","The sentence expresses a critical evaluation of the paper's methodology, making it subjective.",6,"No justification is provided for defining exactly 42 evaluation dimensions in Section 3.2, lacking a basis for this specific number.",,objective,qwen3:14b,False
objective,0.95,"The sentence states a factual absence of specific ablation studies in the paper. It does not contain evaluative language, personal opinions, or hedging terms. The claim is verifiable by examining the paper's methodology section for the presence of ablation studies on the mentioned parameters.",The statement reports a verifiable omission in the paper's methodology without expressing the reviewer's subjective evaluation.,7,"There's no ablation for particle‑per‑cell, interior/surface ratios, or grid resolution.",,objective,qwen3:14b,True
objective,0.95,"The sentence reports factual conditions (assumptions about PRMs, sandboxes, etc.) and states the paper's own observation about performance degradation under specific circumstances. There is no evaluative language, personal opinion, or hedging. The phrasing 'the paper notes' indicates it is relaying the authors' own claims rather than the reviewer's subjective judgment.",The statement objectively describes the paper's assumptions and reported performance limitations without expressing the reviewer's personal evaluation or opinion.,8,"The approach assumes access to reasonably accurate PRMs, execution sandboxes, and consistency sampling; the paper notes performance can drop when PRM accuracy is low or process signals are unreliable.",,objective,qwen3:14b,True
subjective,0.85,"The sentence asks for clarification on terms ('corridor constant', 'explicit', 'falsifiable') and implies ambiguity or lack of definition in the paper. While phrased as a question, it reflects the reviewer's judgment that these terms are not adequately explained, which is a subjective evaluation of the paper's clarity. This aligns with the definition of subjective language as it highlights perceived weaknesses in the manuscript's exposition.","The sentence expresses the reviewer's judgment about unclear terminology, which is a subjective evaluation of the paper's quality.",9,"What is a corridor constant, and what does it mean to be explicit and falsifiable?",,objective,qwen3:14b,False
subjective,0.95,"The sentence contains evaluative language ('critical') which expresses the author's judgment about the importance of the components. While the second part ('Section 3.3 provides no detailed information...') appears factual, the overall statement combines an evaluative assertion with a factual observation. In academic peer reviews, labeling components as 'critical' typically reflects the reviewer's opinion rather than an objective fact.","The use of 'critical' to describe the components' importance introduces a subjective evaluation, making the sentence subjective despite containing factual elements.",10,"Core components like the Scenario Classifier and Expert Router are critical to the framework, but Section 3.3 provides no detailed information about their design (e.g., model architecture of the classifier, routing logic of the router).",,objective,qwen3:14b,False
objective,0.95,"The sentence describes a factual limitation of the modelling approach (scope limited to brain regions, excluding finer structures like visual cortex layers). While it highlights a weakness, it does so without evaluative language, hedging, or explicit opinion markers. The statement is a verifiable description of the model's current implementation.",The sentence objectively reports a factual limitation of the model's granularity without expressing subjective judgment or evaluation.,11,"Additionally, the modelling is only done at the level of brain regions and more fine-grained structures (for instance, the layers of visual cortex) are not modelled.",,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual absence of specific elements (variance estimates and statistical significance tests) in the paper. It uses neutral language without evaluative terms, hedging, or personal opinion. The claim is verifiable by examining the paper's content.",The statement reports a verifiable fact about missing components in the paper without expressing the author's evaluation or opinion.,12,No variance estimates or statistical significance tests are reported.,,objective,qwen3:14b,True
objective,0.95,"The sentence describes a technical requirement of the CABA system ('requires all malicious clients to submit...') without expressing personal opinions, evaluations, or emotional stances. Terms like 'malicious clients' and 'emergent backdoor' are factual descriptors within the domain of machine learning security. The statement explains a mechanism (simultaneous submission) necessary for sustaining a backdoor, which is a verifiable system property rather than an author's judgment.",The sentence objectively describes a system requirement without subjective evaluation or hedging language.,13,CABA requires all malicious clients to submit their updates simultaneously each round to sustain the emergent backdoor.,,objective,qwen3:14b,True
subjective,0.75,"The sentence uses evaluative language ('outperforms') to compare methods, which implies a judgment. However, the phrase 'in their evaluations' is vague and does not specify whether these evaluations are from the paper being reviewed, other studies, or the reviewer's own analysis. This ambiguity makes the claim less objective, as it lacks explicit references to verifiable data or citations. The absence of concrete evidence (e.g., numerical results, specific experiments) further supports a subjective interpretation.","The sentence expresses an evaluative claim ('outperforms') without providing verifiable evidence or context for the evaluations, making it subjective.",14,This method also outperforms heuristic-based initialization methods in their evaluations.,,objective,qwen3:14b,False
objective,0.85,"The sentence states a factual absence of specific works (Expel[1], MSI-Agent[2], SelfGoal[3]) being introduced in the paper. While it highlights a gap, it does so by referencing verifiable citations and does not use evaluative language (e.g., 'fails to', 'weak', 'should have'). The phrasing 'lack of introducing' is neutral and descriptive, focusing on what is missing rather than expressing an opinion on its significance.",The statement objectively reports the absence of cited works without expressing subjective judgment or evaluation.,15,"Lack of introducing the insight-based memory work, like Expel[1], MSI-Agent[2] and SelfGoal[3].",,objective,qwen3:14b,True
subjective,0.95,"The sentence evaluates the adequacy of the description ('not described in sufficient detail'), which reflects the reviewer's judgment about the paper's clarity. This is an evaluative statement rather than a verifiable fact. While it references a specific aspect of the paper (the fusion mechanism), the phrasing implies a subjective assessment of its sufficiency.","The sentence expresses a judgment about the description's adequacy, which is a subjective evaluation of the paper's quality.",16,The fusion mechanism of the proposed metric between the aesthetic and artifact branches is not described in sufficient detail.,,objective,qwen3:14b,False
objective,0.95,"The sentence discusses general technical principles of GAN training (requiring diverse samples to avoid overfitting/mode collapse) using established machine learning terminology. It avoids personal opinions, hedging, or evaluative language. The claims are factual and align with widely accepted knowledge in the field of generative models.",The statement presents verifiable technical facts about GAN training without expressing the author's subjective evaluation or opinion.,17,"Training a GAN typically requires thousands of diverse samples; otherwise, the model risks overfitting or mode collapse.",,objective,qwen3:14b,True
objective,0.95,"The sentence reports observed trends in Pass@1 and Pass@32 metrics without evaluative language, personal opinions, or hedging. The use of 'observe' is neutral, and the statements describe verifiable correlations between variables. No subjective terms like 'unclear', 'fails to', or emotional language are present.",The sentence objectively describes the authors' observed trends in metrics without expressing the reviewer's evaluation or stance.,18,"The authors observe that Pass@1 diminishes with length increase, while Pass@32 generally increases.",,objective,qwen3:14b,True
objective,0.95,"The sentence describes a general factual distinction between evaluation criteria for different creative writing tasks (essays vs. scripts). It uses neutral language without evaluative terms, hedging, or personal opinion. The statement can be verified based on standard practices in creative writing assessment.",The sentence objectively states a factual difference in evaluation criteria between essay and script tasks without expressing the author's personal stance or opinion.,19,"For example, in creative writing tasks, essay and script require different evaluation criteria.",,objective,qwen3:14b,True
objective,0.95,"The sentence points to specific missing information (datasets, configuration, model type) without using evaluative language or expressing personal opinion. It states a factual absence of details that could be verified by checking the paper's content. The use of 'are missing' directly references observable gaps in the manuscript rather than subjective judgment.",The statement objectively identifies verifiable omissions in the paper's methodology section without expressing personal evaluation or opinion.,20,"However, the details about the training and evaluation datasets, training configuration, and the exact model type (e.g., the LLM backbones) are missing.",,objective,qwen3:14b,True
subjective,0.95,"The sentence evaluates the paper's methodology as 'lacking diversity of evaluation,' which reflects the reviewer's judgment about its limitations. While the first clause ('considers only English-to-target...') is factual, the second clause introduces an evaluative stance ('lacks the diversity') that expresses the author's opinion on the paper's shortcomings. This aligns with subjective language used in criticism.","The use of 'lacks the diversity of evaluation' conveys the reviewer's judgment about the paper's limitations, making it subjective.",21,"(iii) The paper considers only English-to-target machine translation as a generation task, which lacks the diversity of evaluation.",,objective,qwen3:14b,False
objective,0.95,"The sentence describes a methodological detail ('trigger designed within the joint trigger tuning process') without evaluative language, hedging, or explicit author stance. It states a factual description of a technical process used in the work, aligning with objective reporting of methods.",The statement neutrally describes a technical process without expressing opinions or evaluations.,22,The trigger in this work is designed within the joint trigger tuning process.,,objective,qwen3:14b,True
objective,0.95,"The sentence states a verifiable absence of content in the paper ('no discussion or demonstration'), which can be objectively confirmed by examining the paper's sections. While it highlights a weakness, the statement itself does not include evaluative language, hedging, or explicit opinions. It describes a factual omission in the paper's coverage.",The sentence objectively reports the absence of specific content in the paper without expressing the reviewer's personal judgment or evaluation.,23,"There is no discussion or demonstration of its extensibility to other prevalent forgery methods, such as splicing or those involving AI-generated content.",,objective,qwen3:14b,True
objective,0.95,"The sentence states a factual exclusion of specific methods from evaluation without evaluative language or opinion markers. It references a verifiable citation [2] and describes technical features (DCT, ELA, noise features) objectively. The use of 'are excluded' is a neutral statement of fact rather than an opinion or judgment.",The sentence reports a factual omission in the evaluation process without expressing subjective judgment or emotional stance.,24,"Moreover, recent multi-branch approaches, such as Luo et al. [2], which integrate DCT, ELA, and noise features, are excluded from the evaluation.",,objective,qwen3:14b,True
