label,confidence,reasoning,explanation,idx,sentence,matched_markers,paper_title,reviewer,ground_truth,model,correct
subjective,1.0,"The sentence critiques the paper's structure by pointing out specific flaws (symbols not defined, sets not introduced), which reflects the author's evaluation of the paper's quality and methodology. The language is critical and indicates an opinion about the paper's shortcomings.","The reviewer is expressing an opinion about the paper's weaknesses, which is subjective.",1,"Some key symbols (e.g., $J^t$) are used before being defined, and sets $N$ and $M$ are not introduced at all.",,Reframing attention as a reinforcement learning problem for causal discovery,ICLR.cc/2026/Conference/Submission25201/Reviewer_c1aN,objective,qwen3:1.7b,False
objective,0.95,"The sentence refers to established literature and a verifiable statistical fact (1/64 chance of alignment), without expressing personal opinions or evaluations. It describes a known phenomenon and its probability, aligning with objective criteria.","The sentence presents factual information about existing research and a measurable statistical probability, making it objective.",2,"Prior literature has extensively documented this phenomenon, and it's recognized that even random copy-move operations have a 1/64 chance of aligning with grid boundaries.",,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,objective,qwen3:1.7b,True
subjective,0.8,"The sentence critiques the clarity of Theorems 2.5 and 2.8, which is an evaluative judgment. The first part about error feedback being 'typically useful' is a general technical statement, but the main focus is on the critique of the theorems' ability to clarify convergence, indicating an author's stance.","The sentence expresses a critical evaluation of the theorems' clarity, which is subjective.",3,"Error feedback is typically useful for biased but contractive compressors, but Theorems 2.5 and 2.8 do not clarify whether it improves convergence for extragradient DIANA.",,DIANA with Compression for Distributed Variational Inequalities: Eliminating the Need to Transmit Full Gradients,ICLR.cc/2026/Conference/Submission25336/Reviewer_DATd,objective,qwen3:1.7b,False
objective,0.95,"The sentence states a factual claim about the content of the paper (only high-level summaries were provided, no implementation details, etc.), which is verifiable and objective. The use of 'only' does not alter its factual nature, as it describes the paper's content without expressing an evaluative or subjective stance.","The sentence reports a factual limitation of the paper's content, making it objective.",4,"Only high-level summaries are given—no implementation details, hyperparameters, or reproducibility discussion.",,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,objective,qwen3:1.7b,True
objective,0.99,"The sentence states a factual claim about the paper's lack of description regarding the dataset selection process. It does not express an opinion, evaluation, or emotional stance, nor does it involve hedging or author-claim framing. The content is a verifiable fact about the paper's methodology.","The sentence is a factual statement about the paper's content, not an opinion or evaluation.",5,The dataset selection process is not described.,,On the (In)Significance of Feature Selection in High-Dimensional Datasets,ICLR.cc/2026/Conference/Submission25529/Reviewer_49XN,objective,qwen3:1.7b,True
subjective,0.95,"The sentence critiques the lack of justification for choosing 42 evaluation dimensions, using evaluative terms like 'no justification' and 'lacking a basis,' which indicate an opinion or critique rather than a verifiable fact. It does not report results or describe methods objectively.","The reviewer is expressing a personal judgment about the methodology's lack of support, which is subjective.",6,"No justification is provided for defining exactly 42 evaluation dimensions in Section 3.2, lacking a basis for this specific number.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,False
objective,0.95,"The sentence states a factual claim about the absence of ablation studies for specific parameters, without expressing personal opinions, evaluations, or hedging. It is a straightforward assertion of methodology, aligning with objective criteria.","The sentence reports a verifiable fact about the study's methodology, not an author's subjective evaluation or opinion.",7,"There's no ablation for particle‑per‑cell, interior/surface ratios, or grid resolution.",,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR.cc/2026/Conference/Submission25504/Reviewer_og4k,objective,qwen3:1.7b,True
objective,0.95,"The sentence reports factual limitations of the paper's assumptions (e.g., 'reasonably accurate PRMs', 'execution sandboxes') and notes potential performance issues without expressing personal judgment or evaluation. The 'notes' clause indicates a factual observation about the paper's methodology, not an author's stance.","The sentence objectively states the paper's assumptions and their potential drawbacks, without subjective evaluation or hedging.",8,"The approach assumes access to reasonably accurate PRMs, execution sandboxes, and consistency sampling; the paper notes performance can drop when PRM accuracy is low or process signals are unreliable.",,Listwise Generalized Preference Optimization with Process-aware Signals for LLM Reasoning,ICLR.cc/2026/Conference/Submission25060/Reviewer_ErQE,objective,qwen3:1.7b,True
objective,0.99,"The sentence asks for definitions of technical terms ('corridor constant') and clarifies concepts ('explicit and falsifiable'), which are factual and methodological in nature. It does not express personal opinion or evaluation, nor does it state verifiable claims.","The review is requesting clarification on terminology, which is a standard objective task in academic discourse.",9,"What is a corridor constant, and what does it mean to be explicit and falsifiable?",,Not All Who Wander Are Lost: Hallucinations as Neutral Dynamics in Residual Transformers,ICLR.cc/2026/Conference/Submission25471/Reviewer_ZZth,objective,qwen3:1.7b,True
subjective,0.95,"The sentence critiques the paper's lack of detail in Section 3.3, using evaluative language like 'critical' and 'provides no detailed information.' The author's stance is implied through the contrast between the importance of components and the absence of specific design details.",The sentence expresses an opinion about the paper's content and methodology.,10,"Core components like the Scenario Classifier and Expert Router are critical to the framework, but Section 3.3 provides no detailed information about their design (e.g., model architecture of the classifier, routing logic of the router).",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,objective,qwen3:1.7b,False
objective,0.95,"The sentence presents a factual statement about the scope of the model's analysis, describing technical limitations without expressing personal opinions or evaluations. It reports a specific technical detail about the model's structure, which is objective in nature.","The reviewer is objectively stating that the model does not include finer structural details, which is a technical limitation rather than an evaluative judgment.",11,"Additionally, the modelling is only done at the level of brain regions and more fine-grained structures (for instance, the layers of visual cortex) are not modelled.",,MouseDTB: A Mouse Digital Twin Brain at Single-neuron Resolution,ICLR.cc/2026/Conference/Submission25506/Reviewer_RNXD,objective,qwen3:1.7b,True
objective,0.95,"The sentence states a factual claim about the absence of specific statistical methods in the study's reporting, which is a standard methodological requirement. It does not express an opinion or evaluation, making it objective.","The sentence reports a methodological detail without subjective judgment, aligning with objective criteria.",12,No variance estimates or statistical significance tests are reported.,,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_p8bK,objective,qwen3:1.7b,True
objective,0.95,"The sentence presents a technical requirement about the system's mechanism without expressing personal opinions, evaluations, or emotional stances. It describes a factual specification of how CABA operates.",The sentence is an objective statement describing a technical requirement without subjective elements.,13,CABA requires all malicious clients to submit their updates simultaneously each round to sustain the emergent backdoor.,,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_cswz,objective,qwen3:1.7b,True
objective,0.95,"The sentence presents a factual comparison between the method and heuristic-based initialization methods using the evaluative term 'outperforms,' which is a standard academic statement of performance. The subject is neutral and lacks hedging or emotional language.",The sentence objectively states a factual comparison between methods without expressing the author's personal opinion or evaluation.,14,This method also outperforms heuristic-based initialization methods in their evaluations.,,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_emKC,objective,qwen3:1.7b,True
subjective,0.95,"The sentence critiques the absence of specific works (Expel[1], MSI-Agent[2], SelfGoal[3]) in the review, implying an evaluation of the paper's completeness. The use of 'lack of introducing' and the mention of specific works suggest an opinion about the paper's coverage, which is subjective.","The reviewer is expressing an opinion about the paper's omission of certain works, indicating a subjective assessment.",15,"Lack of introducing the insight-based memory work, like Expel[1], MSI-Agent[2] and SelfGoal[3].",,Improving Language Agents through BREW: Bootstrapping expeRientially-learned Environmental knoWledge,ICLR.cc/2026/Conference/Submission25161/Reviewer_Ffym,objective,qwen3:1.7b,False
subjective,0.95,"The sentence expresses an evaluation of the paper's description of the fusion mechanism, using terms like 'not described in sufficient detail' which indicate an opinion or critique. It does not state verifiable facts or methodological details, aligning with subjective analysis.","The reviewer is commenting on the adequacy of the description, which is an evaluative judgment rather than a factual statement.",16,The fusion mechanism of the proposed metric between the aesthetic and artifact branches is not described in sufficient detail.,,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_TUpE,objective,qwen3:1.7b,False
objective,1.0,"The sentence presents a verifiable fact about the training process of GANs and the potential risks associated with insufficient diversity. It does not include subjective language, hedging, or emotional stances.","The sentence is a factual statement about the requirements and risks in GAN training, making it objective.",17,"Training a GAN typically requires thousands of diverse samples; otherwise, the model risks overfitting or mode collapse.",,Warfare: Breaking the Watermark Protection of AI-Generated Content,ICLR.cc/2026/Conference/Submission25085/Reviewer_6gnC,objective,qwen3:1.7b,True
objective,0.99,"The sentence presents factual observations about metric trends without expressing personal opinions or evaluations. Terms like 'diminishes' and 'increases' are objective descriptions of numerical data, and the use of 'observe' indicates reporting findings rather than subjective judgment.",The sentence objectively reports observed trends in metrics without incorporating author opinions or evaluations.,18,"The authors observe that Pass@1 diminishes with length increase, while Pass@32 generally increases.",,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,objective,qwen3:1.7b,True
objective,0.99,"The sentence presents a general factual statement about evaluation criteria for different writing tasks. It uses neutral language ('require') and does not include subjective terms, hedging, or emotional stances. The structure is objective as it describes a standard or rule without personal opinion.",The sentence states a factual claim about evaluation criteria for different writing tasks without expressing the author's personal opinion or evaluation.,19,"For example, in creative writing tasks, essay and script require different evaluation criteria.",,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,objective,qwen3:1.7b,True
objective,1.0,"The sentence states a factual observation about missing details in the paper's content, without expressing personal opinions, evaluations, or emotional stances. It is a straightforward assertion of a lack of information.","The reviewer is pointing out a factual gap in the paper's details, which is an objective statement.",20,"However, the details about the training and evaluation datasets, training configuration, and the exact model type (e.g., the LLM backbones) are missing.",,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,objective,qwen3:1.7b,True
