idx,paper_title,reviewer,sentence,matched_markers,ground_truth,label,confidence,correct
1,Reframing attention as a reinforcement learning problem for causal discovery,ICLR.cc/2026/Conference/Submission25201/Reviewer_c1aN,"Some key symbols (e.g., $J^t$) are used before being defined, and sets $N$ and $M$ are not introduced at all.",,objective,objective,0.8104,True
2,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,"Prior literature has extensively documented this phenomenon, and it's recognized that even random copy-move operations have a 1/64 chance of aligning with grid boundaries.",,objective,objective,0.7702,True
3,DIANA with Compression for Distributed Variational Inequalities: Eliminating the Need to Transmit Full Gradients,ICLR.cc/2026/Conference/Submission25336/Reviewer_DATd,"Error feedback is typically useful for biased but contractive compressors, but Theorems 2.5 and 2.8 do not clarify whether it improves convergence for extragradient DIANA.",,objective,objective,0.7314,True
4,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,"Only high-level summaries are given—no implementation details, hyperparameters, or reproducibility discussion.",,objective,objective,0.7548,True
5,On the (In)Significance of Feature Selection in High-Dimensional Datasets,ICLR.cc/2026/Conference/Submission25529/Reviewer_49XN,The dataset selection process is not described.,,objective,objective,0.893,True
6,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"No justification is provided for defining exactly 42 evaluation dimensions in Section 3.2, lacking a basis for this specific number.",,objective,objective,0.6028,True
7,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR.cc/2026/Conference/Submission25504/Reviewer_og4k,"There's no ablation for particle‑per‑cell, interior/surface ratios, or grid resolution.",,objective,objective,0.8777,True
8,Listwise Generalized Preference Optimization with Process-aware Signals for LLM Reasoning,ICLR.cc/2026/Conference/Submission25060/Reviewer_ErQE,"The approach assumes access to reasonably accurate PRMs, execution sandboxes, and consistency sampling; the paper notes performance can drop when PRM accuracy is low or process signals are unreliable.",,objective,objective,0.8786,True
9,Not All Who Wander Are Lost: Hallucinations as Neutral Dynamics in Residual Transformers,ICLR.cc/2026/Conference/Submission25471/Reviewer_ZZth,"What is a corridor constant, and what does it mean to be explicit and falsifiable?",,objective,subjective,0.8287,False
10,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,"Consequently, the paper’s findings highlight vulnerabilities in a limited class of detectors under specific conditions, rather than demonstrating a general weakness across all DCT-based detection methods.",,objective,objective,0.7933,True
11,MouseDTB: A Mouse Digital Twin Brain at Single-neuron Resolution,ICLR.cc/2026/Conference/Submission25506/Reviewer_RNXD,"Additionally, the modelling is only done at the level of brain regions and more fine-grained structures (for instance, the layers of visual cortex) are not modelled.",,objective,objective,0.9099,True
12,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_p8bK,No variance estimates or statistical significance tests are reported.,,objective,objective,0.8809,True
13,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_cswz,CABA requires all malicious clients to submit their updates simultaneously each round to sustain the emergent backdoor.,,objective,objective,0.6196,True
14,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_emKC,This method also outperforms heuristic-based initialization methods in their evaluations.,,objective,objective,0.8419,True
15,Improving Language Agents through BREW: Bootstrapping expeRientially-learned Environmental knoWledge,ICLR.cc/2026/Conference/Submission25161/Reviewer_Ffym,"Lack of introducing the insight-based memory work, like Expel[1], MSI-Agent[2] and SelfGoal[3].",,objective,subjective,0.5583,False
16,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_TUpE,The fusion mechanism of the proposed metric between the aesthetic and artifact branches is not described in sufficient detail.,,objective,objective,0.6573,True
17,Warfare: Breaking the Watermark Protection of AI-Generated Content,ICLR.cc/2026/Conference/Submission25085/Reviewer_6gnC,"Training a GAN typically requires thousands of diverse samples; otherwise, the model risks overfitting or mode collapse.",,objective,objective,0.7894,True
18,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,"The authors observe that Pass@1 diminishes with length increase, while Pass@32 generally increases.",,objective,objective,0.9315,True
19,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,"For example, in creative writing tasks, essay and script require different evaluation criteria.",,objective,objective,0.8724,True
20,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,"However, the details about the training and evaluation datasets, training configuration, and the exact model type (e.g., the LLM backbones) are missing.",,objective,objective,0.7114,True
21,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_GENk,"(iii) The paper considers only English-to-target machine translation as a generation task, which lacks the diversity of evaluation.",,objective,objective,0.828,True
22,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_P4Gf,The trigger in this work is designed within the joint trigger tuning process.,,objective,objective,0.7212,True
23,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,"There is no discussion or demonstration of its extensibility to other prevalent forgery methods, such as splicing or those involving AI-generated content.",,objective,objective,0.7873,True
24,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,"Moreover, recent multi-branch approaches, such as Luo et al. [2], which integrate DCT, ELA, and noise features, are excluded from the evaluation.",,objective,objective,0.892,True
25,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,The term “real world” or “physical world” are mentioned several places in the paper.,,objective,objective,0.8688,True
26,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,The applicability of the Joint Visual Layer Reduction.,,objective,objective,0.6957,True
27,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,"However, the paper provides no analysis of the average number of calls, token usage, latency, or financial cost per evaluation.",,objective,objective,0.9038,True
28,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,"However, in this work, it is a modular approach that leverages a combination of VLMs and LLMs.",,objective,objective,0.7689,True
29,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,The empirical estimation of the CS divergence relies on kernels (Eq. 11).,,objective,objective,0.9164,True
30,Where Redundancy Lives: Stage-Aware Block Saliency in Skip-Connected Models,ICLR.cc/2026/Conference/Submission25281/Reviewer_CYi4,In the introduction $\alpha$ values are not defined,,objective,objective,0.8331,True
31,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"While the framework uses parallel expert routing to improve efficiency, it does not quantify the computational costs of its MoE design—for example, how the number of experts (one per 42 dimensions) affects inference time or resource consumption compared to monolithic evaluators.",,objective,objective,0.7276,True
32,"ERS*: A Bounded, Attribution-Agnostic Metric for Explainable Robustness in Image Recognition",ICLR.cc/2026/Conference/Submission25011/Reviewer_K3y2,The experimental scope is limited to a single dataset (Persian Traffic Sign Dataset).,,objective,objective,0.9044,True
33,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,Table formatting errors: Table headers are not placed above the tables as required.,,objective,objective,0.7518,True
34,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,The classification depends on batch composition.,,objective,objective,0.9281,True
35,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_ESYX,This paper gives a comparison between cs divergence and kl divergence under Gaussian distribution.,,objective,objective,0.9035,True
